Sl. No.,Management,District,Lower Primary,,,Upper Primary,,, Elementary Schools,,,Secondary,,,Higher Secondary(PU Sections) ,,
,,,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,01-All Management,BAGALKOT-2902,522,153,675,891,376,1267,1413,529,1942,313,189,502,63,85,148
2,01-All Management,BALLARI-2912,684,190,874,1048,579,1627,1732,769,2501,370,300,670,79,112,191
3,01-All Management,BELAGAVI CHIKKODI-2930,760,144,904,1279,369,1648,2039,513,2552,425,177,602,130,65,195
4,01-All Management,BELAGAVI-2901,576,102,678,878,318,1196,1454,420,1874,323,184,507,87,81,168
5,01-All Management,BENGALURU RURAL-2921,621,30,651,583,111,694,1204,141,1345,217,72,289,42,41,83
6,01-All Management,BENGALURU U NORTH-2928,103,197,300,169,1527,1696,272,1724,1996,107,1078,1185,27,383,410
7,01-All Management,BENGALURU U SOUTH-2920,230,270,500,412,2067,2479,642,2337,2979,222,1394,1616,75,763,838
8,01-All Management,BIDAR-2905,605,127,732,990,438,1428,1595,565,2160,341,246,587,58,141,199
9,01-All Management,CHAMARAJANAGARA-2927,361,36,397,475,100,575,836,136,972,160,69,229,35,48,83
10,01-All Management,CHIKKABALLAPURA-2929,900,45,945,661,169,830,1561,214,1775,232,91,323,52,69,121
11,01-All Management,CHIKKAMANGALURU-2917,677,55,732,731,168,899,1408,223,1631,268,86,354,79,51,130
12,01-All Management,CHITRADURGA-2913,802,59,861,923,242,1165,1725,301,2026,349,136,485,87,57,144
13,01-All Management,DAKSHINA KANNADA-2924,265,33,298,897,312,1209,1162,345,1507,361,215,576,124,90,214
14,01-All Management,DAVANAGERE-2914,512,101,613,739,347,1086,1251,448,1699,287,190,477,67,78,145
15,01-All Management,DHARWAD-2909,209,129,338,460,464,924,669,593,1262,176,285,461,49,148,197
16,01-All Management,GADAG-2908,190,85,275,396,235,631,586,320,906,176,133,309,48,69,117
17,01-All Management,HASSAN-2923,1226,60,1286,1115,218,1333,2341,278,2619,422,147,569,110,81,191
18,01-All Management,HAVERI-2911,488,83,571,772,231,1003,1260,314,1574,305,139,444,82,83,165
19,01-All Management,KALBURGI-2904,840,200,1040,1246,705,1951,2086,905,2991,446,409,855,82,209,291
20,01-All Management,KODAGU-2925,136,6,142,361,31,392,497,37,534,162,25,187,51,10,61
21,01-All Management,KOLAR-2919,1140,73,1213,762,252,1014,1902,325,2227,272,127,399,58,73,131
22,01-All Management,KOPPAL-2907,441,104,545,662,187,849,1103,291,1394,233,102,335,60,45,105
23,01-All Management,MANDYA-2922,800,45,845,1011,174,1185,1811,219,2030,388,107,495,111,54,165
24,01-All Management,MYSURU-2926,955,86,1041,1119,529,1648,2074,615,2689,406,358,764,101,166,267
25,01-All Management,RAICHUR-2906,737,163,900,917,337,1254,1654,500,2154,286,195,481,73,97,170
26,01-All Management,RAMANAGARA-2932,773,47,820,536,156,692,1309,203,1512,238,90,328,61,28,89
27,01-All Management,SHIVAMOGGA-2915,890,79,969,963,389,1352,1853,468,2321,296,196,492,56,77,133
28,01-All Management,TUMAKURU MADHUGIRI-2931,727,31,758,588,86,674,1315,117,1432,230,57,287,53,29,82
29,01-All Management,TUMAKURU-2918,1246,72,1318,823,251,1074,2069,323,2392,338,145,483,86,87,173
30,01-All Management,UDUPI-2916,240,12,252,590,106,696,830,118,948,237,62,299,79,29,108
31,01-All Management,UTTARA KANNADA SIRSI-2934,590,37,627,484,100,584,1074,137,1211,130,57,187,24,29,53
32,01-All Management,UTTARA KANNADA-2910,440,38,478,483,105,588,923,143,1066,141,63,204,37,24,61
33,01-All Management,VIJAYAPURA-2903,1038,197,1235,1233,413,1646,2271,610,2881,414,205,619,139,97,236
34,01-All Management,YADAGIRI-2933,475,103,578,547,204,751,1022,307,1329,157,93,250,29,65,94
